location,country,date,current_infected,cumulative_infected,new_infected,deaths,recovered,recovery_rate,mortality_rate,population_impact_percentage
New York,International,2024-01-01,147757,256271,12351,3377,105137,41.025711063678685,1.3177456676721127,4.283291484478038
New York,India,2024-01-02,69598,323856,25700,14329,239929,74.08508719924905,4.424497307445285,9.553457514672111
New York,India,2024-01-03,6364,6730,257,163,203,3.0163447251114412,2.421991084695394,1.313660310476685
New York,International,2024-01-04,74411,283369,66184,9571,199387,70.36302488980799,3.3775748229340543,6.2755915015563355
New York,International,2024-01-05,357202,614565,95253,7855,249508,40.59912295688821,1.2781398224760603,6.525731439071565
New York,International,2024-01-06,14116,33857,1816,247,19494,57.57745813273474,0.7295389432022921,5.053592831800155
New York,India,2024-01-07,52243,71746,1249,2902,16601,23.13857218520893,4.044824798595044,4.655312478100968
New York,International,2024-01-08,15978,57783,13571,177,41628,72.0419500545143,0.30631846736929547,0.6637812406412911
New York,International,2024-01-09,64813,426283,17324,14233,347237,81.45691946429953,3.338861742082138,4.275165562714657
New York,International,2024-01-10,246798,384481,91233,13494,124189,32.30042576876361,3.5096662773973226,7.920334594538139
New York,India,2024-01-11,28567,568537,4582,19577,520393,91.53194954769874,3.4433994621282342,6.8213392159005934
New York,India,2024-01-12,104299,146680,31718,3535,38846,26.48350149986365,2.410008181074448,8.611528927997332
New York,International,2024-01-13,62140,225976,7217,9694,154142,68.21166849576946,4.2898360887881894,6.368788045924402
New York,India,2024-01-14,474792,647921,277129,7477,165652,25.56669717450121,1.1539987128060365,7.9362810413180345
New York,International,2024-01-15,268580,406627,162816,9973,128074,31.496678774405044,2.4526162797846673,9.926508193219615
New York,India,2024-01-16,9498,59282,4187,2568,47216,79.64643568030768,4.331837657299011,4.0707132091148495
New York,India,2024-01-17,47974,265831,21620,9398,208459,78.41786699068206,3.535328836742141,3.744148161961581
New York,International,2024-01-18,8675,54174,962,2226,43273,79.87780115922767,4.108982168567947,2.243721295472176
New York,International,2024-01-19,50252,57623,49716,2471,4900,8.503548930114711,4.2882182461864184,1.2199095298511904
New York,India,2024-01-20,138524,238080,14566,10970,88586,37.20850134408602,4.607694892473118,6.402443943655911
New York,India,2024-01-21,82277,162941,44572,6289,74375,45.645356294609705,3.8596792704107625,8.76207776229071
New York,International,2024-01-22,27730,36725,11210,38,8957,24.38938053097345,0.1034717494894486,1.877535119748142
New York,International,2024-01-23,4240,38855,1017,734,33881,87.19855874404838,1.88907476515249,5.875859148752769
New York,India,2024-01-24,13661,16812,12995,146,3005,17.87413752081846,0.8684273138234595,2.2942139737991267
New York,International,2024-01-25,300084,337785,206473,6837,30864,9.137173053865624,2.02406856432346,3.427770333248261
New York,International,2024-01-26,88040,104459,62269,996,15423,14.764644501670512,0.9534841421036006,1.1652419478623417
New York,International,2024-01-27,10127,102559,4,3857,88575,86.36492165485234,3.760762097914371,2.2444696896250695
New York,International,2024-01-28,545334,660310,529624,5164,109812,16.630370583513805,0.7820569126622344,7.930056114835754
New York,India,2024-01-29,690942,820420,177325,30019,99459,12.122937032251773,3.658979547061261,8.790499035093744
New York,International,2024-01-30,80438,84697,62996,2340,1919,2.265723697415493,2.762789709198673,3.4414775717016823
New York,India,2024-01-31,97825,217582,53063,1450,118307,54.3735235451462,0.6664154203932311,5.913134413457407
New York,International,2024-02-01,21192,56124,17712,2060,32872,58.570308602380436,3.6704440168198986,5.21705181356783
New York,India,2024-02-02,13417,412976,6173,6784,392775,95.10843245128046,1.642710472279261,6.665172161072842
New York,International,2024-02-03,9278,46110,8394,1000,35832,77.70982433311646,2.168726957276079,1.0416280752990248
New York,India,2024-02-04,88459,146265,7452,2042,55764,38.12532047995077,1.3960961268929684,2.3510881086202224
New York,International,2024-02-05,109919,179131,65765,4028,65184,36.389011393896084,2.248633681495665,3.092941750526538
New York,International,2024-02-06,97917,289101,56992,2502,188682,65.26508036983614,0.8654414893065053,5.266281469839394
New York,International,2024-02-07,8586,30643,1586,675,21382,69.7777632738309,2.20278693339425,4.678349180758356
New York,India,2024-02-08,57492,70312,39547,639,12181,17.324212083285925,0.9088064626237341,1.3658270886060704
New York,India,2024-02-09,137099,352308,116039,14854,200355,56.86927347661705,4.216197191094157,9.617569040593517
New York,International,2024-02-10,18394,62512,8843,1674,42444,67.8973637061684,2.677885845917584,1.2228484395243426
New York,International,2024-02-11,52799,172783,7505,2447,117537,68.0257895742058,1.416227290879311,7.04863013447156
New York,India,2024-02-12,34420,530824,19981,4641,491763,92.6414404774464,0.8743010866125118,9.223946353395668
New York,India,2024-02-13,53325,169933,29750,899,115709,68.09095349343565,0.5290320302707537,5.160299585434201
New York,India,2024-02-14,11111,166421,9192,1267,154043,92.56223673695027,0.7613221889064481,6.489486525681125
New York,India,2024-02-15,26589,625615,13964,30179,568847,90.92604876801228,4.82389328900362,7.715416959821228
New York,International,2024-02-16,8939,12061,277,559,2563,21.25031091949258,4.634773236050078,0.6440694982014542
New York,International,2024-02-17,237951,369135,158414,12005,119179,32.28602001977596,3.252197705446517,8.569522276439901
New York,India,2024-02-18,5035,9704,4634,361,4308,44.39406430338005,3.7201154163231656,0.24857486985937488
New York,International,2024-02-19,553443,567103,472523,8898,4762,0.83970636727367,1.56902714321737,7.847355015313401
New York,India,2024-02-20,8411,243769,7296,4807,230551,94.57765343419385,1.9719488532175953,2.980772428824091
New York,India,2024-02-21,139440,190292,129025,7086,43766,22.999390410526978,3.7237508670884747,3.049928612963014
New York,International,2024-02-22,164721,170655,11002,2223,3711,2.1745627142480446,1.3026281093434122,5.064687504729921
New York,India,2024-02-23,54389,122716,45491,3369,64958,52.93360279018221,2.745363277812184,1.3956920478899932
New York,India,2024-02-24,210949,284893,74398,10862,63082,22.14234817984296,3.812659489703152,8.105098599282785
New York,International,2024-02-25,218115,545010,111833,26005,300890,55.208161318140945,4.771472083081044,6.566408485041694
New York,India,2024-02-26,120784,289420,38566,10221,158415,54.73533273443438,3.531545850321333,3.318684277334769
New York,International,2024-02-27,73500,85478,2265,512,11466,13.41397786564964,0.5989845340321486,1.306295581200518
New York,India,2024-02-28,11,552,4,19,522,94.56521739130434,3.4420289855072466,0.024184496160711232
New York,International,2024-02-29,12287,99349,1668,912,86150,86.71451146966753,0.9179760239156911,9.061746367055957
New York,India,2024-03-01,254168,378504,8506,5680,118656,31.34867795320525,1.500644643121341,5.676110605156973
New York,India,2024-03-02,165470,220223,14954,7382,47371,21.510468933762596,3.352056778810569,8.34926301374641
New York,India,2024-03-03,89173,108194,51356,4532,14489,13.391685306024364,4.188772020629609,2.5807482676780324
New York,India,2024-03-04,215228,222845,5971,9654,-2037,-0.914088267629967,4.3321591240548365,4.58708986719269
New York,International,2024-03-05,241328,600167,67407,26850,331989,55.316103684474484,4.473754804912632,6.872202861361543
New York,India,2024-03-06,255660,299615,27955,6503,37452,12.5000417202076,2.170452080169551,9.271795132056122
New York,International,2024-03-07,77039,99390,22064,1607,20744,20.871315021631958,1.6168628634671496,4.809383596609866
New York,International,2024-03-08,5888,339435,4538,1635,331912,97.78366992207638,0.4816827964116841,5.612310360175951
New York,International,2024-03-09,331640,792422,98595,12523,448259,56.568217439697534,1.5803448162721379,8.556992479903936
New York,India,2024-03-10,3781,10242,920,207,6254,61.06229252099199,2.0210896309314585,0.25659513636721215
New York,India,2024-03-11,246647,408471,171961,16596,145228,35.55405402097089,4.062956733770574,6.530937175278656
New York,India,2024-03-12,49189,91192,13588,2177,39826,43.67269058689359,2.3872708132292306,1.4797273363204162
New York,International,2024-03-13,66417,569622,26762,18892,484313,85.0235770388082,3.3165853846937092,6.168395234189089
New York,India,2024-03-14,5590,158126,5376,7008,145528,92.03293576009006,4.431908731011978,4.875549025744277
New York,India,2024-03-15,276796,441269,208095,14936,149537,33.8879459014796,3.38478343142165,4.45660448931683
New York,International,2024-03-16,58715,357522,27258,6339,292468,81.80419666482062,1.7730377431318913,4.003775299783126
New York,International,2024-03-17,167064,176937,7912,280,9593,5.421703770268514,0.15824841610290669,3.5023131414781146
New York,International,2024-03-18,9417,63549,2196,2378,51754,81.439519111237,3.7419943665517943,1.893069528727
New York,India,2024-03-19,38583,319633,12,12445,268605,84.03544064599086,3.8935278897986128,6.6465737393036255
New York,International,2024-03-20,47899,102877,40242,1846,53132,51.64614053675749,1.7943758080037324,7.3131391541590425
New York,India,2024-03-21,20755,23775,3239,703,2317,9.74553101997897,2.956887486855941,2.92573254066799
New York,International,2024-03-22,26762,193470,14769,1506,165202,85.38894919108905,0.7784152581795627,9.641240409589514
New York,International,2024-03-23,90671,97001,56895,557,5773,5.95148503623674,0.5742208843207802,1.2505364681681803
New York,India,2024-03-24,39143,52930,9267,2285,11502,21.73058756848668,4.317022482524088,2.9673191255574585
New York,India,2024-03-25,66157,83263,4601,3729,13377,16.065959669961448,4.478579921453707,7.185358482620188
New York,India,2024-03-26,49336,619051,17062,6948,562767,90.90801888697378,1.122363100939987,7.155180773636706
New York,International,2024-03-27,9064,87275,1118,1619,76592,87.75938126611285,1.8550558579203666,7.058725522944194
New York,International,2024-03-28,35015,69830,25049,707,34108,48.844336245166836,1.0124588285837033,2.562760661715593
New York,India,2024-03-29,6530,904266,2866,29179,868557,96.05105134993465,3.2268160032556796,9.976961542955452
New York,India,2024-03-30,209437,246966,207104,5088,32441,13.135816266206685,2.0602026189839897,4.799364764237128
New York,India,2024-03-31,202581,241529,68956,7696,31252,12.939232969953917,3.186366854497803,4.298697820029883
New York,International,2024-04-01,59349,301576,58921,2850,239377,79.37534817094199,0.9450354139586704,4.776914893819232
New York,India,2024-04-02,15743,234701,10130,9664,209294,89.1747372188444,4.1175793882429135,8.296308812254306
New York,India,2024-04-03,33707,833131,19382,3440,795984,95.5412774221581,0.4129002521812296,9.644252495217122
New York,India,2024-04-04,50364,182558,30326,7627,124567,68.23420501977454,4.1778503270193585,5.00673706416488
New York,India,2024-04-05,50650,561529,4619,1333,509546,90.74259744376515,0.23738756146165202,7.038811493816883
New York,India,2024-04-06,345342,487061,56355,10568,131151,26.927017355115684,2.169748758369075,9.874706279486093
